日期,牌價幣別,商品重量,本行買入價格,本行賣出價格
20260107,新台幣(TWD),1公克,4497.000,4547.000
20260106,新台幣(TWD),1公克,4508.000,4557.000
20260105,新台幣(TWD),1公克,4455.000,4504.000
20260102,新台幣(TWD),1公克,4388.000,4436.000
20251231,新台幣(TWD),1公克,4350.000,4398.000
20251230,新台幣(TWD),1公克,4388.000,4436.000
20251229,新台幣(TWD),1公克,4506.000,4555.000
20251226,新台幣(TWD),1公克,4538.000,4587.000
20251224,新台幣(TWD),1公克,4518.000,4567.000
20251223,新台幣(TWD),1公克,4522.000,4571.000
20251222,新台幣(TWD),1公克,4450.000,4499.000
20251219,新台幣(TWD),1公克,4363.000,4411.000
20251218,新台幣(TWD),1公克,4368.000,4416.000
20251217,新台幣(TWD),1公克,4359.000,4407.000
20251216,新台幣(TWD),1公克,4318.000,4365.000
20251215,新台幣(TWD),1公克,4353.000,4401.000
20251212,新台幣(TWD),1公克,4273.000,4320.000
20251211,新台幣(TWD),1公克,4212.000,4259.000
20251210,新台幣(TWD),1公克,4193.000,4240.000
20251209,新台幣(TWD),1公克,4175.000,4221.000
20251208,新台幣(TWD),1公克,4199.000,4245.000
20251205,新台幣(TWD),1公克,4224.000,4271.000
20251204,新台幣(TWD),1公克,4202.000,4249.000
20251203,新台幣(TWD),1公克,4213.000,4260.000
20251202,新台幣(TWD),1公克,4234.000,4281.000
20251201,新台幣(TWD),1公克,4258.000,4305.000
20251128,新台幣(TWD),1公克,4200.000,4246.000
20251127,新台幣(TWD),1公克,4163.000,4209.000
20251126,新台幣(TWD),1公克,4162.000,4208.000
20251125,新台幣(TWD),1公克,4167.000,4213.000
20251124,新台幣(TWD),1公克,4076.000,4121.000
20251121,新台幣(TWD),1公克,4058.000,4103.000
20251120,新台幣(TWD),1公克,4069.000,4114.000
20251119,新台幣(TWD),1公克,4084.000,4129.000
20251118,新台幣(TWD),1公克,4000.000,4045.000
20251117,新台幣(TWD),1公克,4063.000,4108.000
20251114,新台幣(TWD),1公克,4154.000,4200.000
20251113,新台幣(TWD),1公克,4186.000,4232.000
20251112,新台幣(TWD),1公克,4096.000,4142.000
20251111,新台幣(TWD),1公克,4099.000,4145.000
20251110,新台幣(TWD),1公克,4042.000,4087.000
20251107,新台幣(TWD),1公克,3977.000,4021.000
20251106,新台幣(TWD),1公克,3964.000,4008.000
20251105,新台幣(TWD),1公克,3928.000,3972.000
20251104,新台幣(TWD),1公克,3944.000,3988.000
20251103,新台幣(TWD),1公克,3959.000,4003.000
20251031,新台幣(TWD),1公克,3951.000,3995.000
20251030,新台幣(TWD),1公克,3903.000,3947.000
20251029,新台幣(TWD),1公克,3911.000,3955.000
20251028,新台幣(TWD),1公克,3850.000,3894.000
20251027,新台幣(TWD),1公克,4000.000,4045.000
20251023,新台幣(TWD),1公克,4054.000,4099.000
20251022,新台幣(TWD),1公克,4073.000,4118.000
20251021,新台幣(TWD),1公克,4251.000,4298.000
20251020,新台幣(TWD),1公克,4171.000,4217.000
20251017,新台幣(TWD),1公克,4269.000,4316.000
20251016,新台幣(TWD),1公克,4143.000,4189.000
20251015,新台幣(TWD),1公克,4115.000,4160.000
20251014,新台幣(TWD),1公克,4050.000,4095.000
20251013,新台幣(TWD),1公克,3995.000,4039.000
20251009,新台幣(TWD),1公克,3932.000,3976.000
20251008,新台幣(TWD),1公克,3942.000,3986.000
20251007,新台幣(TWD),1公克,3850.000,3893.000
20251003,新台幣(TWD),1公克,3744.000,3786.000
20251002,新台幣(TWD),1公克,3766.000,3808.000
20251001,新台幣(TWD),1公克,3762.000,3804.000
20250930,新台幣(TWD),1公克,3755.000,3797.000
20250926,新台幣(TWD),1公克,3655.000,3696.000
20250925,新台幣(TWD),1公克,3642.000,3683.000
20250924,新台幣(TWD),1公克,3658.000,3699.000
20250923,新台幣(TWD),1公克,3626.000,3667.000
20250922,新台幣(TWD),1公克,3586.000,3627.000
